"id" "owner" "datetaken" "tags" "latitude" "longitude" "text" "page"
"32311478954" "140574134@N02" "2017-02-27 11:42:17" "aberdeenscotland cityofaberdeen aberdeencity danoaberdeen aqua iphone7plus cameraphone iphone architecture building autumn summer spring city granite deen historical grampian aberdeen dano bonnie bonny highlands scottish scotland fittie footdee fishing village town harbour cottage ancient old aged tarrysheds danophotography recent candid amateur abdn" "57.143088" "-2.071417" "castles" 1
"33115312846" "140574134@N02" "2017-02-27 11:36:32" "accommodation hut shed city granite deen grampian cameraphone harbour historical architecture scotland bonnie bonny scottish highlands iphone7plus iphone aberdeen dano footdee fittie fishing village town cottage ancient old aged tarrysheds danoaberdeen danophotography recent aberdeenscotland candid amateur abdn" "57.143436" "-2.071792" "castles" 1
"33029344641" "140574134@N02" "2017-02-27 11:33:34" "fishingvillage bon freshair survivor oldtimer veteran oldtown ancient fishing fish village cumulus nimbus clouds sky blue chimney cameraphone iphone7plus iphone digital tourist rambkers ealjs walk granite history harbour 2017 grampian scottish highlands bonny bonnie scotland dano aberdeen fittie footdee town cottage city old aged danoaberdeen tarrysheds danophotography recent aberdeenscotland candid amateur aberdeenhistory historyofaberdeen nationaltrustforscotland vintage classic weathered autumn summer winter spring historicscotland archedbridge ecosse escocia scotia johnsmith archibaldsimpson scottishhighlands bonnyscotland bonniescotland abdn" "57.143483" "-2.071087" "castles" 1
"33000419702" "140574134@N02" "2017-02-27 11:44:28" "tarryshed fittiezulu danoaberdeen cityofaberdeen aberdeenscotland building 2017 green historical city granite thedeen grampian bonny bonnie scotland scottish highlands aberdeen digital iphone7plus iphone dano fittie footdee cameraphone fishing village town harbour cottage ancient old aged tarrysheds danophotography recent candid amateur abdn" "57.142880" "-2.071639" "castles" 1
"32963174331" "140574134@N02" "2017-02-20 14:37:59" "city granite post lamp lighting street aberdeen fittie footdee scotland scottish highlands dano cumulus nimbus clouds sky blue bonnyscotland fishing village bonny bonnie town harbour cameraphone iphone iphone7plus cottage ancient old aged tarrysheds danoaberdeen danophotography recent aberdeenscotland candid amateur abdn" "57.143274" "-2.070010" "castles" 1
"32963174261" "140574134@N02" "2017-02-20 14:38:41" "radar clouds blue sky hills bon freshair shipping landmark architecture building tower northsea ship boat scotland 2017 iphone7plus iphone dano scottish highlands aberdeen fittie footdee marineoperationscentre bonnyscotland fishing village bonny bonnie town harbour cameraphone cottage granite city ancient old aged danoaberdeen tarrysheds danophotography recent aberdeenscotland candid amateur history aberdeenhistory historyofaberdeen nationaltrustforscotland vintage classic weathered autumn summer winter spring historicscotland archedbridge ecosse escocia scotia johnsmith archibaldsimpson scottishhighlands bonniescotland abdn" "57.142889" "-2.068605" "castles" 1
"38311383772" "140574134@N02" "2017-03-22 15:06:47" "museum hrh princecharles danophotography danoaberdeen militarywives bydand britisharmy aberdeen aberdeenscotland gordonhighlanders candid amateur oldsoldiers historicscotland army soldier heritage highlands scotland autumn summer winter spring ecosse schotland escocia memorial missinginaction warhero war forces military hero widow wive british uk gb scotch armistice remembrance remembrancesunday remembranceday scottishsoldier regiment battalion troops infantry brigade wardead poppy fighter veterans poppyfields" "57.148127" "-2.093195" "castles" 1
"35778343514" "140574134@N02" "2017-03-22 15:11:57" "aberdeenscotland candid amateur nikon danoaberdeen 2017 recent plaque aberdeen metal history historic historicscotland scottishhistory aberdeencity cityofaberdeen aberdeenshistory scottishhighlands oldtimer timesgoneby olddays museum geotagged nationaltrustforscotland grampian notice information caledonia abdn" "57.147497" "-2.094284" "castles" 1
"33236537613" "140574134@N02" "2017-03-22 15:33:19" "museum musician tablet nationaltrustforscotland aberdeenhistory historicscotland countrydancing scottishdancing dancing dance geotagged francispeacock heritage notice 2017 nikon dano aberdeenscotland plaque aberdeen ecosse scotia escocia scotland scottish recent candid amateur autumn summer winter spring aberdeencity cityofaberdeen danoaberdeen metal history historic scottishhistory aberdeenshistory scottishhighlands oldtimer timesgoneby olddays grampian information caledonia abdn" "57.148511" "-2.092270" "castles" 1
"33237473930" "140574134@N02" "2017-03-22 15:11:08" "lagers britishbeers ales whisky whiskey cityofaberdeen aberdeencity aberdeenscotland nikon amateur candid aberdeenpub aberdeenunionstreet thewig tiltedwig dano aberdeen spring summer winter autumn ecosse scotland highlands landmark scottish caledonia scottishpub publichouse castlestreet castlest drunk beer lager ale realale danophotography danoaberdeen" "57.147538" "-2.093903" "castles" 1
"32807011283" "140574134@N02" "2017-03-22 15:20:44" "scottishhistory cityofaberdeen marischaluniversity marischaluniversityaberdeen nikonp610 aberdein aberdeentourist recent scotland escocia scotia ecosse caledonia metalplaque plaque badge aberdeenhistory aberdeencity nationaltrustforscotland blazon historicscotland bonaccord metalcast urbanart metalart publicart metal metalicobjects aberdeenscotland robertthebruce aberdeenunionstreet flickrexplore intrigued interesting alanbeattieherriot spring winter summer artist art carved handmade granite history nikon 2017 dano grampian granitecity coatofarms aberdeen marischalcollege danophotography danoaberdeen candid amateur" "57.148686" "-2.096981" "castles" 1
"32783643003" "140574134@N02" "2017-03-22 15:06:40" "amateur candid gordonhighlandersmuseum cityofaberdeen aberdeenscotland scottishsoldiers oldsoldiers militarywives bydand oldtimes metalart castlestreet historicscotland thepast timesgoneby olddays flickrexplore heros british britishsoldier soldier army warhero missinginaction neverforget hero war tribute metalsculpture carved handcrafted handmade publicsculpture castlest highlands scottish scotland architecture architect building citycentre aberdeencity granitecity heritage history publicart art publicstatue commemorate memorial sculpture 2017 nikon dano aberdeen castlegate scottishsoldier gordonhighlanders chimneypots chimneys chimney aberdeenunionstreet danophotography danoaberdeen remembrancesunday remembranceday britisharmy" "57.148113" "-2.093181" "castles" 1
"32754863774" "140574134@N02" "2017-03-22 15:12:59" "landmark granitebuilding blue townhouse turrets aberdeencourt thegoodolddays timesgoneby aberdeenunionstreet architecture architecht building historicscotland stoneworks granite 2017 dano autumn winter summer spring bluesky history heritage granitecity nikon castle turret aberdeenscotland unionstreet union aberdeen danoaberdeen danophotography candid amateur aberdeenhistory historyofaberdeen nationaltrustforscotland vintage classic weathered archedbridge ecosse escocia scotia johnsmith archibaldsimpson scottishhighlands bonnyscotland bonniescotland abdn" "57.147405" "-2.094278" "castles" 1
"33468528671" "140574134@N02" "2017-03-22 15:08:08" "granitebuildings amateur candid silvercity bonnie bonnyscotland cityofaberdeen aberdeencity geotagged yearsago oldtimes caledonia escocia scottish scotia ecosse highlands tourist granitebuilding scottishhistory turret oldtimer veteran survivor timesgoneby olddays aberdeenunionstreet architect architecture building mercatcross historicscotland walks walk heritage winter summer autumn spring 2017 nikon dano landmark history granitecity city granite grampian castle scottishcastle scotland aberdeenscotland aberdeen castlegate danoaberdeen danophotography aberdeenhistory historyofaberdeen nationaltrustforscotland vintage classic weathered archedbridge johnsmith archibaldsimpson scottishhighlands bonniescotland abdn" "57.148108" "-2.093203" "castles" 1
